Sorszám,Cím,Belső_méret(mag/szél),Külső_méret(mag/szél),Ár,Téma,Technika,Leírás,Eladva
17,Szerelem,23.0x17.1,32.4x26.5,30000,szerelem,tűzzománc,kész,false
82,Ég és föld között,19.8x14,8x34.0x28.0,30000,női alak,fa,...,false
70,Karcnő,29.2x19.3,34.7x24.7,30000,női alak,vászon,...,false
1002,Három lány,9.9x27.1,20.2x39.3,30000,...,...,...,false
1,Erdőben,20.1x21.8,26.8x21.8,30000,természet,tűzzománc,...,false
103,Sárga liliom,14.3x18.0,31.0x25.1,30000,virág,vászon,kész,false
110,Őszi lány fakerettel,7.0x9.3,18.4x18.4,30000,...,...,kész,false
83,Fa a domb előtt,15.3x9.9,22.4x17.0,30000,természet,fa,kész,false
61,Liliom,24.0,24.0,30000,virág,fa,...,false
23,Őszi hölgy,14.2x11.2,20.2x17.3,30000,női arc,tűzzománc,kész,false
5,Imádkozó kereszt,9.9x5.1,21.1x21.1,30000,vallási témájú,tűzzománc,kész,false
12,Nyári lány,9.8x7.9,21.4x19.4,30000,női arc,tűzzománc,kész,false
10,Őszi lány,9.8x7.9,21.4x19.4,30000,női arc,tűzzománc,kész,false
15,Esőben,9.8x7.9,21.4x19.4,30000,női alak,tűzzománc,kész,false
63,Keltai kereszt,18.6x8.1,22.8x12.8,30000,vallási téma,porcelán,kész,false
64,Tápiószentmártoni szkíta aranyszarvas,9.1x19.1,12.9x22.8,30000,állat,porcelán,kész,false
68,Zöldhalompusztai szkíta aranyszarvas,9.1x19.1,12.9x22.8,30000,állat,porcelán,kész,false
1033,Orchidea,14.3x9.5,17.2x12.3,30000,...,...,...,false
30,Folyó szélén,9.7x19.6,12.3x22.2,30000,természet,tűzzománc,kész,false
13,Hosszú hajú lány,9.9x7.9,21.4x19.4,30000,női alak,tűzzománc,kész,false
42,Szőke hajú nő,4.0x9.0,9.6x14.7,30000,női arc,tűzzománc,kész,false
9,Szerelem,9.5x6.6,21.0x18.2,30000,szerelem,tűzzománc,kész,false
8,Egymásba olvadva,9.5x6.6,21.0x18.2,30000,szerelem,tűzzománc,kész,false
21,Táncoló lány,15.0x12.0,27.3x21.4,30000,női alak,tűzzománc,kész,false
1003,Üveg,14.7,14.7,30000,...,...,...,false
85,Mandala 1,10.2x10.2,19.3x19.3,30000,vallási téma,fa,kész,false
84,Halak kövekkel,10.2x10.2,19.3x19.3,30000,...,...,kész,false
57,Liliom hölgy,14.2x8.6,17.2x11.7,30000,női alak,porcelán,kész,false
38,Indák között,9.2x9.2,15.0x15.0,30000,női alak,tűzzománc,kész,false
58,Mákvirág 2.,8.8x7.0,11.2x9.2,30000,női alak,porcelán,...,false
45,Lovas kép 1.,4.4x9.5,10.4x15.4,30000,állat,tűzzománc,kész,false
55,Régi Magyarország,9.3x13.9,12.9x16.9,30000,?,üveg,kész,false
41,A nagy fa,5.8x8.9,9.8x13.0,30000,természet,tűzzománc,kész,false
34,Erdőben,...,...,..,természet,tűzzománc,kész,false
36,Fa a domboldalon,...,...,..,természet,tűzzománc,kész,false
22,Laura,...,...,..,női arc,tűzzománc,kész,false
19,Hullámlovas lány,...,...,..,női alak,tűzzománc,...,false
39,Félre néző lány,...,...,..,női alak,tűzzománc,kész,false
44,Napfényben táncolok,...,...,..,emberek,tűzzománc,...,false
33,Orhidea,...,...,..,virág,tűzzománc,kész,false
47,Mini erdő részlet,...,...,..,természet,tűzzománc,kész,false
43,Lepkeszárnyon,...,...,..,női arc,tűzzománc,kész,false
14,Édenkert,...,...,..,női arc,tűzzománc,...,false
6,Álomba ringatva,...,...,..,szerelem,tűzzománc,...,false
4,Három lány,...,...,..,női arc,tűzzománc,kész,false
20,Szerelem a tóban,...,...,..,szerelem,tűzzománc,...,false
29,Tengeri város,...,...,..,természet,tűzzománc,kész,false
28,Tengerben úszó ember,...,...,..,?,tűzzománc,kész,false
25,Szent család szamárháton,...,...,..,vallási témájú,tűzzománc,...,false
27,Jézus az olajfánál,...,...,..,vallási témájú,tűzzománc,...,false
48,Nyári lány 2,...,...,..,női arc,tűzzománc,...,false
49,Kettes virág,...,...,..,virág,tűzzománc,...,false
32,Tűz,...,...,..,természet,tűzzománc,kész,false
50,Hármas virág,...,...,..,virág,tűzzománc,...,false
51,Rózsaszín virág,...,...,..,virág,tűzzománc,...,false
49,??Őszi lány 3.,...,...,.., ,tűzzománc,bug,false
50,Lepke,...,...,..,állat,tűzzománc,kész,false
200,Boldog maci 1.,...,...,...,mese fugura,tűzzománc,kész,false
201,Boldog maci 2.,...,...,..,mese figura,tűzzománc,kész,false
202,Szerelmes maci pár,...,...,..,mese figura,tűzzománc,kész,false
203,Kis állatok az erdőben,...,...,..,mese figura,tűzzománc,kész,false
204,Három jó barát,...,...,..,mese figura,tűzzománc,kész,false
205,Pingvinek,...,...,..,mese figura,tűzzománc,kész,false
206,Miki egerek,...,...,..,mese figura,tűzzománc,kész,false
59,Buddha,...,...,..,vallási téma,porcelán,...,false
60,Táncoló nő,...,...,..,női alak,porcelán,kész,false
56,Mini kereszt,...,...,..,vallási témájú,porcelán,...,false
66,Turul madár,...,...,..,állat,porcelán,kész,false
67,Szkítai aranyszarvas 1,...,...,..,állat,porcelán,...,false
300,Helikopter 1,...,...,..,gép,porcelán,kész,false
301,Helikopter 2,...,...,..,gép,porcelán,kész,false
302,Helikopter 3,...,...,..,gép,porcelán,kész,false
400,Ponty,...,...,..,állat,porcelán,kész,false
401,Csuka,...,...,..,állat,porcelán,...,false
402,Harcsa,...,...,..,állat,porcelán,...,false
403,Fogas süllő,...,...,..,állat,porcelán,...,false
404,Ponty 2,...,...,..,állat,porcelán,...,false
500,Éva,...,...,..,női alak,üveg,...,false
501,Szerelmes pár 1,...,...,..,szerelem,üveg,kész,false
502,Vaddisznó,...,...,..,állat,üveg,...,false
53,Szerelmes pár 2,...,...,..,szerekem,üveg,...,false
54,Mákvirág,...,...,..,női alak,üveg,...,false
52,Távolba néző,...,...,..,női alak,üveg,...,false
78,Szerelmes pár,...,...,..,női alak,fa,kész,false
67,Nő és férfi,...,...,..,?,üveg,...,false
69,Buddha 2,...,...,..,Vallási témájú,fa,kész,false
87,Mandala 3,...,...,..,vallási téma,fa,...,false
98,Nádasban,...,...,..,természet,fa,...,false
97,Szív szerelem,...,...,..,szerelem,fa,...,false
105,Erdő részlet,...,...,..,természet,fa,...,false
105,Két ágú fa,...,...,..,természet,fa,...,false
72,Bokor hölgy,...,...,..,női alak,fa,kész,false
73,Fa hölgy,...,...,..,női alak,fa,kész,false
77,Inda hölgy,...,...,..,női alak,fa,kész,false
75,Szerelem az erdőben,...,...,..,szerelem,fa,kész,false
81,Csónak,...,...,..,természet,vászon,...,false
106,Vadrózsa,...,...,..,virág,vászon,...,false
108,Tájkép 1.,...,...,..,természet,vászon,...,false
109,Tájkép 2.,...,...,..,természet,vászon,...,false
126,Honfoglalás,...,...,..,?,rajzlap,kész,false
600,Angyal,...,...,..,női alak,fa,...,false
601,Szerelmes pár,...,...,..,szerelem,vászon,...,true
602,Két fa összefonódva,...,...,..,természet,vászon,...,false
603,Tulipánvirágok,...,...,..,virág,vászon,...,false
80,Tájkép,...,...,..,természet,...,kész,false
94,Madarak között,...,...,..,női arc,...,kész,false
92,Bokor nő,...,...,..,női alak,...,kész,false
93,Hullámok között,...,...,..,női alak,...,kész,false
89,Kék fa,...,...,..,természet,fa,...,false
35,Szerelem az erdőben 2,...,...,..,természet,tűzzománc,...,false
46,Lovas kép 2,...,...,..,állat,tűzzománc,...,false
3,Erdei út, , , ,természet,tűzzománc, ,
65,Aranyszarvas, , , ,állat,?,kész,
18,Jézus, , , ,vallási téma,tűzzománc,kész,...,false
16,Ugró szarvas, , , ,vallási téma,tűzzománc,kész,...,false
111,Mária, , , ,vallási téma,tűzzománc,kész,...,false
112,Nap és Hold, , , ,vallási téma,vászon,kész,...,true
